French,English
dénoncer,denounce
bec,spout
gene,embarrassed
shane,shane
compagnon,fellow
contrairement,contrary to
mouillé,wet
rapproche,close
orléans,Orleans
roll,roll
préférez,prefer
future,future
grenade,grenade
mont,Mountain
option,option
décoller,take off
jetée,pier
navires,ships
alibi,alibi
respiration,breathing
co,co
roues,wheels
escroc,crook
achetée,bought
saoul,drunk
ayons,be
doyle,doyle
lane,lane
spécialité,speciality
franchir,cross
solo,solo
gravité,severity
paysans,peasants
toile,cloth
complot,conspiracy
tronche,face
retiens,retain
pop,pop
proie,prey
miennes,mine
surprises,surprises
surveillez,Watch
fabriquer,make
débrouille,uncomfortable
jazz,jazz
inspiration,inspiration
interrogatoire,examination
sieur,sieur
mexicain,Mexican
cliente,client
îles,he is
fiction,fiction
mondes,worlds
croira,will grow
arriveras,will arrive
dernièrement,lately
carrie,carrie
adorait,adored
age,age
messager,messenger
iront,will go
louche,suspicious
édition,editing
aidée,helped
sympathique,friendly
gratitude,gratitude
divorcé,divorce
lits,beds
viendras,will come
promettre,to promise
impressionné,impressed
voyou,thug
mouillée,wet
obsédé,obsessed
obéis,obey
sacrifier,sacrifice
intense,intense
coeurs,hearts
éloigne,distant
like,like
accro,addict
libère,released
tonton,uncle
river,river
road,road
satisfaire,satisfy
chirurgie,surgery
gage,pledge
michel,Michel
séquence,sequence
partes,parts
sueur,sweat
grossier,rude
liz,liz
rôles,roles
femelle,female
enlevée,removed
rentrera,will come back
turner,turner
naître,be born
pigeon,pigeon
intuition,intuition
fréquence,frequency
élevée,high
aérienne,Aerial
clay,Clay
todd,todd
cristal,crystal
compliments,compliments
ombres,shadows
saints,holy
regret,regret
dépêcher,hurry
edgar,edgar
voyous,thug
grillé,gate
choisissez,choose
perdant,losing
rappellerai,will recall
potter,potter
samantha,samantha
continuons,let's go on
marquer,to mark
habituer,get used to
relais,relay
madison,Madison
bosses,bumps
renfort,reinforcement
explosifs,explosives
souffrances,suffering
sun,Sun
balader,stroll
rico,rico
habille,dressed
vœux,wishes
actuelle,current
retient,retain
brosse,brush
coton,cotton
pull,sweater
alliés,allies
caisses,boxes
établi,established
grouille,swarm
mail,email
déconnes,disconnected
déménagé,moved
beverly,Beverly
économique,economic
convoi,convoy
arabes,Arabs
detroit,Detroit
patte,paw
possibilités,possibilities
religieux,religious
juive,Jewish
exister,exist
allions,Allow
claque,slap
gabrielle,Gabrielle
right,right
parrain,godfather
roméo,romeo
peggy,Peggy
cousins,cousins
mick,mick
yankees,yankees
culot,cheek
tremble,tremble
consulter,to consult
repérer,spot
écrase,crushed
phénomène,phenomenon
michelle,Michelle
craquer,crack
confession,confession
accusations,accusations
déplace,move
vider,empty
barney,barney
sourit,smiles
vomi,vomit
confus,confused
mourant,dying
burke,burke
square,square
arrangement,arrangement
disputer,argue
inverse,reverse
fardeau,burden
minou,Kitty
jordan,jordan
arrêtait,stopped
sieste,siesta
fouet,whip
froc,froc
tango,tango
egypte,Egypt
dorment,sleep
habillée,dressed
comptent,count
poules,hens
jesus,Jesus
latin,Latin
essayant,trying
madrid,Madrid
retenue,detention
cocktail,cocktail
leonard,Leonard
mikey,mikey
glissé,slippery
rebelle,rebel
spécialement,especially
vieillard,old man
exceptionnel,exceptional
trouveront,will find
canne,cane
from,from
puissants,powerful
hal,hal
délicate,delicate
affiche,attach
sure,safe
habitué,used to
accroche,grip
exécuter,execute
allumettes,matches
indépendance,independence
case,box
compliment,compliment
crack,crack
collé,glue
bazar,bazaar
correspond,correspond
chrétien,Christian
quelquefois,sometimes
continuent,continue
tueront,will kill
journées,days
maïs,but
problême,issue
pyjama,pyjamas
tuyaux,pipes
soucie,concern
partait,left
carson,Carson
dylan,Dylan
superbes,superb
quoique,though
impatient,eager
réunir,reunite
reynolds,Reynolds
corruption,corruption
boucles,loops
aventures,adventures
devint,became
ressort,spring
lester,louster
autopsie,autopsy
tiendrai,will hold
vaste,vast
bouclier,shield
insisté,insisted
âgé,age
oses,dare
ous,ou
appartenait,belonged
toilette,toilet
surnom,nickname
nègres,negroes
toubib,doctor
œuf,egg
missile,missile
cicatrice,scar
prendrait,would take
instruments,instruments
agis,act
défoncé,smashed
evans,Evans
merdé,shit
just,just
interdite,prohibited
lenny,lenny
jouons,let's play
planètes,planets
sublime,gorgeous
augmente,increase
déchiré,torn
holmes,holmes
campus,campus
meg,meg
colin,colin
spéciaux,special
démonstration,demonstration
hauts,Tops
touristes,tourist
jupe,skirt
jérusalem,Jerusalem
relevé,survey
effrayé,afraid
souriez,smile
entrent,enter
ordinateurs,computers
elliot,elliot
ver,worm
diner,dinner
manny,manny
kenny,Kenny
donnant,giving
rude,harsh
mêlé,mixed
alexandre,Alexander
gum,gum
honoré,honored
quelconque,any
homicide,homicide
sociétés,companies
académie,academy
paré,adorned
marvin,marvin
mouchoir,handkerchief
rasoir,Shaver
laid,ugly
pathétique,pathetic
réparé,repaired
rosa,rosa
barman,bartender
audrey,Audrey
papi,Grandpa
delta,delta
now,now
richie,richie
piloter,pilot
appelés,called
requête,query
récolte,harvest
domestique,domestic
aiderait,would help
lard,bacon
chanteuse,a singer
réserves,reserves
explorer,explore
paient,pay
remplis,full
respirez,Breathe
sauront,will know
artifice,artifice
fouillé,search
fermier,farmer
inscrit,registered
atroce,atrocious
fondation,foundation
rochers,rocks
dîne,dine
précieuse,precious
napoléon,napoleon
burt,burt
cody,cody
jumelles,binoculars
coq,rooster
domicile,residence
jouir,enjoy
occupés,busy
commettre,commit
nier,deny
difficultés,difficulties
rendait,rendered
échanger,swap
avancé,advance
conclure,conclude
briques,bricks
outre,besides
raccompagne,connect
considéré,considered
polonais,Polish
laser,laser
bracelet,bracelet
tirs,shots
mit,put
amende,fine
lions,lions
valeurs,values
mariages,weddings
fusillade,shooting
house,house
phoenix,phoenix
réunions,meetings
spéciales,special
rupture,breakup
ennuyer,annoy
certificat,certificate
moquer,mock
entrés,entry
oreiller,pillow
reconnaissez,recognize
parcours,journey
patates,potatoes
immobilier,real estate
bossé,bump
condoléances,condolences
toby,Toby
triomphe,triumph
prenant,taking
jouant,playing
amenée,brought
magazines,magazines
thompson,Thompson
ethan,Ethan
lourde,heavy
addition,addition
quasiment,nearly
artistique,artistic
rendrai,will make
capital,capital
retournons,Let's go back
thanksgiving,Thanksgiving
ruby,Ruby
éditeur,editor
marks,marks
essais,testing
autobus,bus
marilyn,Marilyn
barrière,barrier
fiançailles,engagement
célébrer,celebrate
perdent,lose
étouffe,muffled
duchesse,duchess
typique,typical
partenaires,partners
jambon,ham
pic,peak
plaques,plates
allonger,lengthen
contrats,contracts
sylvia,Sylvia
paulie,Paulie
agression,assault
maillot,jersey
paysage,countryside
espions,spies
épouvantable,appalling
ruiné,ruin
veines,veins
rex,rex
cape,cape
favori,favorite
etais,was
fassent,do
pige,rod
tortue,tortoise
mrs,MRS
cloches,bells
mises,stakes
chantier,worksite
hills,hills
round,round
messire,messire
aigle,eagle
fabriqué,made
ajoute,add
perfection,perfection
montrerai,will show
séduire,seduce
empreinte,footprint
sauveur,Saviour
denver,Denver
gâche,spoils
foiré,fair
sirène,Mermaid
rassembler,gather
bandit,bandit
loyal,loyal
ouvres,workers
privilège,privilege
oubliais,forgotten
otto,otto
débat,debate
aîné,elder
scotty,scotty
sexuels,sexual
économies,savings
spencer,spectr
jai,I have
comptais,count
way,way
futé,smart
oubliée,forgotten
roulé,rolled
can,can
emprunté,borrowed
dramatique,dramatic
voulions,wanted
appartiens,belonging
décrit,describe
soirées,evenings
néanmoins,nevertheless
répétez,repeat
trajet,route
standard,standard
olivia,olivia
embêter,bother
vols,flights
pistes,tracks
merdes,shit
fa,fa
assemblée,assembly
rentrerai,will come back
cogner,to bump
disparus,missing
billard,billiards
personnels,personal
bonnie,Bonnie
éternellement,eternally
pressée,hurry
surprendre,surprise
entende,hear
habites,dwelling
reconnaît,recognize
piqûre,sting
grandeur,greatness
atomique,atomic
sandra,Sandra
ooh,ooh
publié,published
annule,canceled
volontaires,volunteer
authentique,authentic
suivie,followed
enfuie,fucked
levée,lifting
vase,vase
terrestre,earthly
vivais,lived
clou,nail
mourrai,will die
cd,CD
pleuvoir,rain
institut,institute
Ellie,Ellie
orbite,orbit
liés,linked
Arnold,Arnold
transmettre,convey
commençait,began
humaines,human
défilé,parade
tomates,tomatoes
eli,Eli
chiant,tiresome
marron,chestnut
poussée,push
techniques,techniques
laissait,left
valentin,Valentine
choisie,chosen
autographe,autograph
goûte,task
maris,husband
triple,triple
admis,admitted
confirmer,confirm
désagréable,unpleasant
crayon,pencil
tapé,tapped
ashley,ashley
résiste,resistant
dorénavant,from now on
épouses,wives
nécessaires,required
pneu,tire
matelas,mattress
day,day
deal,deal
attaquent,attack
souhaiter,to wish
raclée,beating
chrétiens,Christian
délai,time limit
embarquer,embark
tsar,tsar
ruine,ruin
reportage,reporting
choper,graze
flingues,gun
licence,Licence
comptait,counted
bars,bars
espoirs,hopes
générations,generations
plonge,dive
rende,rendering
renonce,renounce
plaisait,pale
concentration,concentration
mômes,kids
attache,attached
polly,polly
cassettes,cassettes
nettoyage,cleaning
devront,will have to
fuis,fuels
refuses,refuse
valable,valid
démolir,demolish
queiie,queiie
hughes,hughes
marée,tide
détruite,destroyed
frere,brother
vivra,will live
nucléaires,nuclear
paille,straw
farce,prank call
poèmes,poems
dansé,dance
fédérale,federal
taupe,mole
nixon,Nixon
bouquin,book
enquêter,investigate
réservoir,reservoir
contenu,content
confirme,confirmed
horizon,horizon
fonctionner,function
taches,tasks
ruines,ruins
mairie,city ​​hall
evan,Evan
yu,yu
badge,badge
surprenant,surprising
retournes,return
judiciaire,judicial
décollage,lift-off
provoqué,provoked
définitivement,definitively
virage,turn
attentat,bombing
bella,Bella
doris,Doris
nan,Nope
colonie,colony
frangin,Bro
cindy,cindy
courent,run
stable,steady
observation,observation
risquez,Risk
difficulté,difficulty
rhume,common cold
inévitable,inevitable
transporter,carry
présidente,president
balancé,balance
massage,massage
plaisantais,joked
exposé,exposed
american,American
appât,bait
paies,payroll
briquet,lighter
dracula,Dracula
chauve,bald
barbecue,barbecue
gym,gym
couples,couples
séparation,separation
suicidé,suicide
entendus,heard
nomme,appointed
inspiré,inspired
mou,soft
baie,bay
révélé,revealed
anonyme,anonymous
fixer,to stare
littérature,literature
colis,package
effraction,breaking in
volent,steal
retrouverai,will find
samuel,samuel
flipper,pinball
rencard,date
député,deputy
aimiez,love
sages,wise
sembles,appearance
grenier,attic
balcon,balcony
reparlera,will talk about
appelons,let's call
romains,Romans
constitution,constitution
photographie,photography
souhaitez,wish
refus,refusal
mo,Mo
sullivan,Sullivan
ceia,ceia
voire,even or even
bizarrement,oddly
coulé,cast
obtient,gets
remords,remorse
pardonnez,forgive
chanté,sung
habitudes,habits
codes,codes
intéressent,interest
chantage,blackmail
valet,valet
fichue,damn
chèques,checks
téléphones,phones
wall,wall
rudy,rudy
détenus,prisoners
solaire,solar
cachets,storage
caca,pooh
croisé,cross
quarante,forty
présents,present
priez,pray
guise,guise
hélène,Hélène
morris,morris
arc,bow
aspirine,aspirin
tucker,tucker
domestiques,domestic
description,description
east,East
sciences,sciences
égard,regard
confie,entrusts
prononcer,pronounce
insupportable,intolerable
richesse,richness
faillite,bankruptcy
interdis,prohibited
gagnent,win
bœuf,beef
jeffrey,Jeffrey
insigne,badge
calibre,caliber
bingo,bingo
entouré,surrounded
familier,familiar
sortiras,will go out
disparue,missing
travailleurs,workers
refusez,Refuse
fouille,search
blues,blues
formé,form
rusty,rusty
hockey,hockey
revenons,Let's go back
studios,studios
glisse,slide
matins,morning
augmentation,increase
gâchis,mess
ventes,sales
fidèles,loyal
chargée,in charge
dessiner,draw
sheila,Sheila
slim,slim
entreprises,companies
jurer,swear
craché,spat
fâche,angry
élection,election
remplie,filled
prit,taken
matchs,matches
pelle,shovel
marion,marion
gentillesse,kindness
pharmacie,pharmacy
normaux,normal
chantait,sang
plombs,pellet
féliciter,congratulate
cross,cross
bacon,bacon
visuel,visual
down,down
britanniques,British
parait,seems
roosevelt,roosevelt
fisher,fisher
aah,aah
extraterrestres,alien
vanessa,Vanessa
winston,winston
assassiner,murder
volés,stolen
réglo,laborer
israël,Israel
renverser,to spill
glaces,ice cream
bulletin,bulletin
mentionné,mention
escorte,escort
copies,copies
ducon,ducon
causes,causes
fumes,smoke
kent,Kent
branché,branch
stock,stock
stewart,stewart
donnerait,would give
sauvez,save
cellulaire,cellular
affreuse,awful
réchauffer,warm up
litres,liters
grippe,flu
ramenez,brought back
hunter,hunter
mate,mate
office,office
perruque,wig
merdique,crappy
chantez,sing
contacté,contacted
guider,to guide
mule,mule
hotel,hotel
yankee,Yankee
professeurs,teachers
talons,heels
canyon,canyon
mater,mane
renseigner,to inform
assistance,assistance
coins,corners
suggestion,suggestion
réaliste,realistic
yens,yen
capacités,capacities
rabbin,rabbi
douglas,Douglas
positions,positions
mississippi,Mississippi
commentaire,comment
comptoir,counter
accordé,granted
appelais,calling
décevoir,disappoint
avantages,benefits
harrison,harison
jessie,Jessie
bo,bo
génétique,genetic
score,score
présume,presume
unes,some
conviction,conviction
creuse,dig
sorties,exits
back,back
avalé,swallowed
foutent,crazy
touchant,touching
baxter,baxter
ram,ram
miranda,miranda
elaine,rack
dope,dope
plongée,dive
fourmis,ants
province,province
laisserais,would leave
dormait,was sleeping
séduisant,attractive
instants,moments
internationale,international
leslie,Leslie
centaine,hundred
venise,Venice
enterprise,Enterprise
austin,Austin
brune,Brown
not,not
précédent,previous
gagnez,win
amateurs,amateurs
enfermée,enclosed
imposer,impose
drogué,dope
provoque,provoke
prudence,caution
maîtriser,to master
comprendra,will understand
grèce,Greece
grenouille,frog
détenu,held
conversations,conversations
pétasse,bitch
implique,implied
pensaient,thought
inconscient,unconscious
utilisée,used
district,district
plaie,wound
mètre,metre
précise,precise
wolf,wolf
prudents,cautious
gangs,gangs
buté,stop
pète,fart
mercedes,Mercedes
mineurs,minors
confidentiel,confidential
jefferson,Jefferson
slip,porch
are,are
supermarché,supermarket
suce,suck
mallette,briefcase
rampe,ramp
ruiner,ruin
migraine,migraine
étre,be
gêné,embarrassed
développer,develop
autorise,allowed
stevens,Stevens
épicerie,grocery
afghanistan,Afghanistan
sperme,sperm
sensé,sensible
cibles,targets
serrure,lock
murray,Murray
musicale,musical
verrais,would see
bailey,bailey
rime,rhyme
méritent,deserve
omar,Omar
options,options
tank,tank
impressionner,impress
tristes,sad
baisers,kisses
rançon,ransom
célèbres,famous
montrent,show
elsa,Elsa
évacuation,evacuation
probleme,issue
inutiles,unnecessary
duncan,Duncan
sobre,sober
obsession,obsession
finissent,finish
dépenses,expenses
arbitre,arbitrator
marijuana,marijuana
cruelle,cruel
adieux,farewell
couvent,convent
éclat,glow
ignores,unknown
souliers,shoes
perdons,Let's lose
tournent,run
gueules,gules
dante,dante
informatique,computer science
hudson,Hudson
localiser,locate
attaqués,attacked
seau,bucket
craignez,fear
programmes,programs
poignet,wrist
hôtels,hotels
requins,sharks
adopter,adopt
vendue,sold
prions,prayer
céder,to sell
plumes,feathers
robots,robots
décédé,deceased
empêché,stop
respectable,respectable
bay,bay
phillip,phillip
hait,hates
prévoir,to expect
féminin,feminine
nain,dwarf
vidé,empty
evelyn,Evelyn
noel,Christmas
zack,zack
poubelles,trash cans
insulter,insult
prêtres,priests
boeuf,beef
chèvre,goat
battue,beaten
épargner,save
prochaines,next
inspection,inspection
watson,watson
perry,perry
distraire,distract
publier,publish
détresse,distress
arnaque,scam
poupées,dolls
durée,duration
lancez,launch
mécanique,mechanical
baigne,baton
reprenez,pick up
laissés,left
baigner,bathe
merdier,shitty
refusent,refuse
forcée,forced
quittée,left
décolle,take off
participé,participated
dansez,danse
ordonnance,arrangement
emmènes,swing
tais,tais
noyé,drowned
changes,changes
treize,thirteen
naze,naze
appareils,devices
casquette,cap
familiale,family
soudainement,suddenly
butin,booty
cracher,spit
durera,will last
harmonie,harmony
considérer,consider
woody,Woody
infection,infection
cadillac,cadillac
persuadé,convinced
porcs,pigs
propriétaires,owners
référence,reference
prophète,Prophet
applaudissements,applause
ego,ego
parts,shares
mineur,minor
fondre,melt
psychopathe,psychopath
serviettes,napkins
when,when
lesbienne,lesbian
déjá,Already
apparition,appearance
aveugles,blind
furieuse,furious
généraux,general
déposé,deposit
obstacle,obstacle
ballet,ballet
alaska,Alaska
tuerais,would kill
humide,humid
mat,mast
capote,hood
mexicains,Mexican
quarantaine,quarantine
prostituée,prostitute
mers,seas
chassé,chase
débarrasse,getting rid of
reviendras,will come back
entendais,heard
honnêteté,honesty
prudente,prudent
gonzesse,chick
voté,vote
faille,fault
bute,foul
vivres,food
ras,ras
seth,Seth
refais,redo
marchez,walk
physiquement,physically
marge,margin
hésite,hesitant
nuls,zero
fédéraux,federal
alexander,Alexander
arche,ark
amber,amber
sacrément,sacrament
assisté,assisted
indienne,Indian
bouquet,bunch
boxeur,boxer
registre,register
bijou,jewel
pentagone,Pentagon
masques,masks
endormie,asleep
connaissances,knowledge
papy,Grandpa
massacrer,massacre
appartiennent,belong
marco,Marco
nicholas,nicholas
happy,happy
marshal,marshal
terrorisme,terrorism
faciles,easy
ignorent,ignore
courageuse,courageous
mesurer,measure
espérant,Hoping
grandit,growing
pacte,pact
chapelle,Chapel
orphelinat,orphanage
commune,commune
exemplaire,copy
ja,JA
symptômes,symptoms
défoncer,smash
dons,donations
possibles,possible
accéder,to access
appeiie,appeal
lucky,Lucky
torturer,torture
fontaine,fountain
féminine,feminine
japonaise,Japanese
chauffe,heated
jaunes,yellow
curieuse,curious
capturer,capture
soupçons,suspicion
fusion,fusion
paisible,peaceful
june,June
gabriel,Gabriel
troy,Troy
conséquence,result
jon,jon
inscrire,to inscribe
détester,to hate
fritz,fritz
boissons,drinks
mèche,wick
surement,certainly
bâtir,to build
menton,chin
montes,ride
rituel,ritual
continent,continent
insecte,bug
voeux,wishes
josé,josé
visions,visions
trait,trait
lmpossible,lmpossible
empoisonné,poisoned
clefs,keys
pois,pea
investissement,investment
croisés,crossed
accidents,accidents
seui,seui
philip,Philip
was,wast
démissionné,resigned
diabolique,diabolical
wally,Wally
ohio,Ohio
verront,will see
nues,naked
vendent,sell
assurances,insurance
fosse,ditch
wagon,car
einstein,Einstein
puissiez,can
italiens,Italian
ciseaux,scissors
saine,healthy
farine,flour
bavarder,to chatter
sombres,dark
nourrit,nourished
prendrez,take
repart,start -up
déclarer,to announce
mord,bite
provisions,provisions
créateur,Creator
joyce,joyce
zones,zones
faucon,falcon
signalé,reported
pologne,Poland
vice,vice
architecte,architect
sentie,felt
psychiatrique,psychiatric
semblable,similar
ruse,cunning
bouges,move
valley,valley
rogers,rogers
stella,stella
béton,concrete
déplacé,displaced
regrets,regret
déchets,waste
vents,winds
véhicules,vehicles
décrocher,to take down
saucisses,sausages
éclaté,bursts
entendent,hear
horreurs,horrors
exécuté,executed
cleveland,Cleveland
illusions,illusions
chips,chips
buzz,buzz
nr,nr
trip,trip
zoé,Zoe
gestes,gestures
torche,torch
publiques,public
pédale,pedal
gérant,manager
coutume,custom
salles,rooms
démissionne,resign
bell,bell
bases,bases
allison,allison
techniquement,technically
mae,mae
tre,be
romain,Roman
mental,mental
cachés,hidden
devenait,became
mentale,mental
ponts,bridges
électronique,electronic
comble,height
rendus,rendered
préserver,preserve
amusé,amused
gwen,gwen
couteaux,knives
enthousiasme,enthusiasm
roberts,Roberts
at,at
baseball,baseball
jeep,jeep
draguer,to dredge
signale,report
bouddha,Buddha
égalité,equality
chevaliers,knights
fortes,strong
cote,coast
mondial,global
procéder,proceed
idéale,ideal
écho,echo
plaint,complaint
susie,Susie
inhabituel,unusual
pleines,full
racines,roots
tickets,tickets
plaise,plaice
appuyez,press
entretenir,maintain
pleurs,tears
modèles,models
interrogé,interrogates
ais,ais
professionnels,professionals
paysan,peasant
parade,parade
kit,kit
pilule,pill
temporaire,temporary
offres,offers
portail,gate
katherine,katherine
détente,relaxation
étudiante,student
val,valve
fédération,federation
sortais,sorted
graisse,fat
adresser,address
confusion,confusion
coopération,cooperation
folles,crazy
mousse,mousse
embarque,embark
pressentiment,presentiment
couvertures,covers
cale,hold
évader,escape
simone,simone
nate,nate
dvd,DVD
ramassé,picked up
légèrement,slightly
asie,Asia
respecté,respected
entendait,heard
honorer,to honour
gratuitement,free
tailleur,tailor
récit,narrative
fiable,reliable
active,active
repasser,go back
absolue,absolute
bienvenus,welcome
actuel,current
comparé,compared
martini,martini
alcoolique,alcoholic
am,AM
iris,iris
luc,luc
pince,pliers
pourboire,tip
saigner,bleed
merveilles,wonders
maudits,cursed
poignardé,stabbing
colorado,Colorado
bloque,blocked
cogné,stunned
chandler,chand
tess,tess
statut,Status
réflexion,reflection
dommages,damage
quotidien,daily
sinistre,sinister
combattant,fighter
financier,financial
um,UM
méritait,deserved
rhum,rum
défends,defend
haleine,breath
habitez,Live
politiciens,politicians
intérieure,interior
pourrie,rotten
arrangera,will arrange
assumer,to assume
kerry,Kerry
wyatt,wyatt
trevor,Trevor
pédés,faded
fuck,fuck
vidéos,videos
bouts,ends
mimi,mimi
climat,climate
échantillon,sample
florence,Florence
habitait,lived
abandonnez,abandon
infirmières,nurses
clara,clara
détention,detention
abraham,Abraham
gray,gray
christopher,Christopher
compagnies,companies
saddam,Saddam
nettoyé,cleaned up
becky,becky
attrapez,catch
voeu,wish
accroché,hooked
armure,armor
chaises,chairs
retournée,overhaul
débarquer,land
skipped,skipped
item,item
adorais,adored
rails,rails
ruban,ribbon
effraie,frightening
visez,Aim
tribord,starboard
tracasse,hassle
preston,preston
è,e
luis,luis
régulièrement,regularly
généralement,generally
scolaire,school
élégant,elegant
patronne,boss
cafard,cockroach
sembler,seem
script,script
juliette,juliet
fiis,fiis
clubs,clubs
dépasser,exceed
trempé,soaked
commençais,began
confort,comfort
disparais,disappearing
vilaine,ugly
hot,hot
cogne,knock
transféré,transferred
vermine,vermin
générai,generally
willy,Willy
infanterie,infantry
clinton,Clinton
toutefois,Nevertheless
traîtres,traitors
trajectoire,path
promet,promise
invente,invent
sons,sounds
martiale,martial
comprendras,will understand
malle,trunk
gère,manage
rigolo,fun
cambriolage,heist
vera,vera
frêre,brother
enlèvement,removal
compagnons,companions
appartements,apartments
passerait,would pass
bornes,boundaries
honteux,ashamed
villages,villages
gelée,goo
lavé,wash
gangster,gangster
pareilles,the same
croyant,believer
edith,Edith
graines,seeds
pénétrer,enter
chargez,Load
directe,direct
poursuivi,for follow-up
cargaison,cargo
infini,infinity
investi,invested
lessive,laundry
coûtera,will cost
nœud,node
fourrure,fur
glacée,frozen
confirmation,confirmation
carré,edge
esclavage,slavery
personnelles,personal
marianne,Marianne
mmm,mmm
ostie,ostie
littéralement,literally
rejeté,rejected
sida,AIDS
remontez,go up
affamé,hungry
carlo,carlo
banlieue,suburb
passager,passenger
cest,It is
mourras,die
cinglée,crazy
marquis,marquis
fixé,fixed
situations,situations
identification,identification
isolé,isolated
degré,degree
dee,dee
batman,Batman
hôtesse,hostess
indispensable,essestial
paquets,packets
life,life
autel,altar
perdues,lost
rive,shore
incroyablement,incredibly
piéger,trap
hypocrite,hypocritical
crash,crash
seize,sixteen
brenda,Brenda
entres,entrances
sal,salt
rosie,rosie
enregistre,checked in
signaux,signals
répugnant,repugnant
emmerdes,boring
wong,wong
frontières,boundaries
vagin,vagina
coopérer,cooperate
tuant,killing
yacht,yacht
ravis,delighted
posséder,possess
souhait,wish
avale,swallow
siens,hers
grise,grey
répare,repair
orteils,toes
rechercher,to research
cameron,Cameron
conséquent,substantial
mythe,myth
formulaire,form
rompez,break
bac,bin
villageois,villager
tumeur,tumor
promo,promotion
millionnaire,millionaire
éveillé,awake
gravement,seriously
sixième,sixth
terrasse,terrace
radios,radios
exacte,accurate
south,south
préoccupe,concerned
montréal,Montreal
enfuis,fucked
jen,jen
volume,volume
châtiment,punishment
condamnés,condemned
achat,purchase
excitée,excited
limousine,limousine
bennett,Bennett
baltimore,baltimore
saucisse,sausage
arrêtons,Let's stop
sherry,sherry
milton,Milton
onu,UN
fréquente,frequent
détestent,hate
violet,purple
orgueil,pride
premiére,first
voiles,sails
défauts,defaults
dégagé,clear
ralentir,to slow down
cuisinière,cook
croyable,believable
pitoyable,pitiful
vendez,sell
profs,teacher
nash,nash
atlanta,Atlanta
portais,portable
apparu,appeared
représenter,represent
porteur,carrier
craignais,feared
revenait,was coming back
battait,beaten
pam,gym
sautez,jump
gâchette,trigger
indiqué,noted
existé,exist
coupes,cups
justifier,justify
joyeuse,joyful
aérien,air
connasse,bitch
assassinée,murdered
cachent,hide
hurle,scream
croûte,crust
ohé,oheh
démission,resignation
plaisanter,kidding
pauvreté,poverty
investir,invest
poses,poses
mouton,sheep
intrus,intruder
cliff,cliff
surprend,surprise
morrison,morrison
ernie,Ernie
pointer,point
virgil,virgil
cathy,Cathy
spatial,spatial
christina,Christina
convenu,agreed
dodo,dodo
traitée,treated
nerf,nerve
exercices,exercises
épais,thick
mortelle,deadly
cachez,hide
boucler,buckle
chantent,sing
croissance,growth
chili,Chile
échantillons,samples
good,good
tranche,slice
derniére,last
eiies,eiies
soulever,raise
data,data
tournant,turning point
pres,close
corn,corn
grecs,Greek
parano,parano
intelligents,intelligent
traîné,dragged
arriverez,will arrive
réagi,reacted
trophée,trophy
espêre,spray
enverra,will send
clôture,fence
renseignement,intelligence
passerelle,bridge
psychologique,psychological
emmerder,piss off
embrassée,kissed
demandant,requesting
automobile,automotive
crises,seizures
moques,cork
tables,tables
garer,park
enfuit,fled
enseigné,taught
locaux,premises
apprendrai,will learn
morveux,morvetus
apprenne,learning
accompagné,accompanied
otis,otis
avocate,lawyer
meuf,girl
opposé,opposite
general,general
recours,appeal
particulière,special
comporter,include
griffes,claws
di,di
fichiers,files
regardons,Let's look at
claires,clear
percy,percy
denny,Denny
http,http
douleurs,pain
distribution,distribution
éliminé,eliminated
salutations,cheers
tabasser,beaten
cuisinier,to cook
écoutent,listen
bla,black
quinn,quinn
éléphants,elephants
suffisait,was enough
yang,yang
randall,randall
trouverons,will find
chargement,loading
fidélité,loyalty
fi,FI
bouffon,puff
représentation,representation
cire,wax
fatigués,tired
aveux,confessions
téléphonique,telephone
purée,mash potatoes
mollo,mollo
barnes,barnes
fourgon,van
vouiez,vow
noëi,Noëi
immédiat,immediate
reconnaissante,grateful
tirée,pulled
palace,palace
chemises,shirts
haïr,hate
renoncé,renounced
allongé,elongate
observé,observed
spirituel,witty
maux,illness
câlin,cuddly
gilet,vest
have,haven
abe,ABE
enfonce,sink
blâmer,blame
sacrés,Holy
révolutionnaire,revolutionary
blond,blond
solde,pay
soucier,worry
déprimé,depressed
effacé,erased
yes,Yes
âgée,elderly
extraterrestre,extraterrestrial
chimique,chemical
amuses,amuses
attendiez,wait
finiras,will end
environs,surrounding
remettra,will put back
malins,clever
remplacé,replaced
usines,factories
pantalons,pants
tigres,tigers
déménage,move
ail,garlic
drake,drake
jonas,Jonas
sitter,swing
abeilles,bees
souviendrai,will remember
envoler,flourish
voyagé,journey
gardent,keep
chi,chi
baissé,decrease
commentaires,comments
logement,accommodation
clochette,bell
hyper,hyper
ciné,cinema
tapette,swatter
rory,Rory
cat,cat
composé,compound
raccompagner,drive away
fuit,flee
conquérir,conquer
permettra,will allow
portera,will carry
emballe,packed up
ouvrier,worker
paiement,payment
niveaux,levels
lires,read
écrirai,will write
déçue,disappointed
comporte,contains
quatorze,fourteen
réfugiés,refugees
archer,archer
goûts,tastes
moïse,Moses
chen,chen
présidence,presidency
cuisses,thighs
bonbon,candy
raccroché,hung
romans,novels
oeuvres,works
égale,equal
parfaits,perfect
grade,grade
aimerions,would like
établissement,establishment
manquez,miss
obligations,obligations
teresa,teresa
fiona,fiona
arrivons,arrive
brûlant,burning
semblables,similar
pavillon,flag
