,French,English
11275,dramatique,dramatic
11276,voulions,wanted
11277,appartiens,belonging
11278,décrit,describe
11279,soirées,evenings
11280,néanmoins,nevertheless
11281,répétez,repeat
11282,trajet,route
11283,standard,standard
11284,olivia,olivia
11285,embêter,bother
11286,vols,flights
11287,pistes,tracks
11288,merdes,shit
11289,fa,fa
11290,assemblée,assembly
11291,rentrerai,will come back
11292,cogner,to bump
11293,disparus,missing
11294,billard,billiards
11295,personnels,personal
11296,bonnie,Bonnie
11297,éternellement,eternally
11298,pressée,hurry
11299,surprendre,surprise
11300,entende,hear
11301,habites,dwelling
11302,reconnaît,recognize
11303,piqûre,sting
11304,grandeur,greatness
11305,atomique,atomic
11306,sandra,Sandra
11307,ooh,ooh
11308,publié,published
11309,annule,canceled
11310,volontaires,volunteer
11311,authentique,authentic
11312,suivie,followed
11313,enfuie,fucked
11314,levée,lifting
11315,vase,vase
11316,terrestre,earthly
11317,vivais,lived
11318,clou,nail
11319,mourrai,will die
11320,cd,CD
11321,pleuvoir,rain
11322,institut,institute
11323,Ellie,Ellie
11324,orbite,orbit
11325,liés,linked
11326,Arnold,Arnold
11327,transmettre,convey
11328,commençait,began
11329,humaines,human
11330,défilé,parade
11331,tomates,tomatoes
11332,eli,Eli
11333,chiant,tiresome
11334,marron,chestnut
11335,poussée,push
11336,techniques,techniques
11337,laissait,left
11338,valentin,Valentine
11339,choisie,chosen
11340,autographe,autograph
11341,goûte,task
11342,maris,husband
11343,triple,triple
11344,admis,admitted
11345,confirmer,confirm
11346,désagréable,unpleasant
11347,crayon,pencil
11348,tapé,tapped
11349,ashley,ashley
11350,résiste,resistant
11351,dorénavant,from now on
11352,épouses,wives
11353,nécessaires,required
11354,pneu,tire
11355,matelas,mattress
11356,day,day
11357,deal,deal
11358,attaquent,attack
11359,souhaiter,to wish
11360,raclée,beating
11361,chrétiens,Christian
11362,délai,time limit
11363,embarquer,embark
11364,tsar,tsar
11365,ruine,ruin
11366,reportage,reporting
11367,choper,graze
11368,flingues,gun
11369,licence,Licence
11370,comptait,counted
11371,bars,bars
11372,espoirs,hopes
11373,générations,generations
11374,plonge,dive
11375,rende,rendering
11376,renonce,renounce
11377,plaisait,pale
11378,concentration,concentration
11379,mômes,kids
11380,attache,attached
11381,polly,polly
11382,cassettes,cassettes
11383,nettoyage,cleaning
11384,devront,will have to
11385,fuis,fuels
11386,refuses,refuse
11387,valable,valid
11388,démolir,demolish
11389,queiie,queiie
11390,hughes,hughes
11391,marée,tide
11392,détruite,destroyed
11393,frere,brother
11394,vivra,will live
11395,nucléaires,nuclear
11396,paille,straw
11397,farce,prank call
11398,poèmes,poems
11399,dansé,dance
11400,fédérale,federal
11401,taupe,mole
11402,nixon,Nixon
11403,bouquin,book
11404,enquêter,investigate
11405,réservoir,reservoir
11406,contenu,content
11407,confirme,confirmed
11408,horizon,horizon
11409,fonctionner,function
11410,taches,tasks
11411,ruines,ruins
11412,mairie,city ​​hall
11413,evan,Evan
11414,yu,yu
11415,badge,badge
11416,surprenant,surprising
11417,retournes,return
11418,judiciaire,judicial
11419,décollage,lift-off
11420,provoqué,provoked
11421,définitivement,definitively
11422,virage,turn
11423,attentat,bombing
11424,bella,Bella
11425,doris,Doris
11426,,Nope
11427,colonie,colony
11428,frangin,Bro
11429,cindy,cindy
11430,courent,run
11431,stable,steady
11432,observation,observation
11433,risquez,Risk
11434,difficulté,difficulty
11435,rhume,common cold
11436,inévitable,inevitable
11437,transporter,carry
11438,présidente,president
11439,balancé,balance
11440,massage,massage
11441,plaisantais,joked
11442,exposé,exposed
11443,american,American
11444,appât,bait
11445,paies,payroll
11446,briquet,lighter
11447,dracula,Dracula
11448,chauve,bald
11449,barbecue,barbecue
11450,gym,gym
11451,couples,couples
11452,séparation,separation
11453,suicidé,suicide
11454,entendus,heard
11455,nomme,appointed
11456,inspiré,inspired
11457,mou,soft
11458,baie,bay
11459,révélé,revealed
11460,anonyme,anonymous
11461,fixer,to stare
11462,littérature,literature
11463,colis,package
11464,effraction,breaking in
11465,volent,steal
11466,retrouverai,will find
11467,samuel,samuel
11468,flipper,pinball
11469,rencard,date
11470,député,deputy
11471,aimiez,love
11472,sages,wise
11473,sembles,appearance
11474,grenier,attic
11475,balcon,balcony
11476,reparlera,will talk about
11477,appelons,let's call
11478,romains,Romans
11479,constitution,constitution
11480,photographie,photography
11481,souhaitez,wish
11482,refus,refusal
11483,mo,Mo
11484,sullivan,Sullivan
11485,ceia,ceia
11486,voire,even or even
11487,bizarrement,oddly
11488,coulé,cast
11489,obtient,gets
11490,remords,remorse
11491,pardonnez,forgive
11492,chanté,sung
11493,habitudes,habits
11494,codes,codes
11495,intéressent,interest
11496,chantage,blackmail
11497,valet,valet
11498,fichue,damn
11499,chèques,checks
11500,téléphones,phones
11501,wall,wall
11502,rudy,rudy
11503,détenus,prisoners
11504,solaire,solar
11505,cachets,storage
11506,caca,pooh
11507,croisé,cross
11508,quarante,forty
11509,présents,present
11510,priez,pray
11511,guise,guise
11512,hélène,Hélène
11513,morris,morris
11514,arc,bow
11515,aspirine,aspirin
11516,tucker,tucker
11517,domestiques,domestic
11518,description,description
11519,east,East
11520,sciences,sciences
11521,égard,regard
11522,confie,entrusts
11523,prononcer,pronounce
11524,insupportable,intolerable
11525,richesse,richness
11526,faillite,bankruptcy
11527,interdis,prohibited
11528,gagnent,win
11529,bœuf,beef
11530,jeffrey,Jeffrey
11531,insigne,badge
11532,calibre,caliber
11533,bingo,bingo
11534,entouré,surrounded
11535,familier,familiar
11536,sortiras,will go out
11537,disparue,missing
11538,travailleurs,workers
11539,refusez,Refuse
11540,fouille,search
11541,blues,blues
11542,formé,form
11543,rusty,rusty
11544,hockey,hockey
11545,revenons,Let's go back
11546,studios,studios
11547,glisse,slide
11548,matins,morning
11549,augmentation,increase
11550,gâchis,mess
11551,ventes,sales
11552,fidèles,loyal
11553,chargée,in charge
11554,dessiner,draw
11555,sheila,Sheila
11556,slim,slim
11557,entreprises,companies
11558,jurer,swear
11559,craché,spat
11560,fâche,angry
11561,élection,election
11562,remplie,filled
11563,prit,taken
11564,matchs,matches
11565,pelle,shovel
11566,marion,marion
11567,gentillesse,kindness
11568,pharmacie,pharmacy
11569,normaux,normal
11570,chantait,sang
11571,plombs,pellet
11572,féliciter,congratulate
11573,cross,cross
11574,bacon,bacon
11575,visuel,visual
11576,down,down
11577,britanniques,British
11578,parait,seems
11579,roosevelt,roosevelt
11580,fisher,fisher
11581,aah,aah
11582,extraterrestres,alien
11583,vanessa,Vanessa
11584,winston,winston
11585,assassiner,murder
11586,volés,stolen
11587,réglo,laborer
11588,israël,Israel
11589,renverser,to spill
11590,glaces,ice cream
11591,bulletin,bulletin
11592,mentionné,mention
11593,escorte,escort
11594,copies,copies
11595,ducon,ducon
11596,causes,causes
11597,fumes,smoke
11598,kent,Kent
11599,branché,branch
11600,stock,stock
11601,stewart,stewart
11602,donnerait,would give
11603,sauvez,save
11604,cellulaire,cellular
11605,affreuse,awful
11606,réchauffer,warm up
11607,litres,liters
11608,grippe,flu
11609,ramenez,brought back
11610,hunter,hunter
11611,mate,mate
11612,office,office
11613,perruque,wig
11614,merdique,crappy
11615,chantez,sing
11616,contacté,contacted
11617,guider,to guide
11618,mule,mule
11619,hotel,hotel
11620,yankee,Yankee
11621,professeurs,teachers
11622,talons,heels
11623,canyon,canyon
11624,mater,mane
11625,renseigner,to inform
11626,assistance,assistance
11627,coins,corners
11628,suggestion,suggestion
11629,réaliste,realistic
11630,yens,yen
11631,capacités,capacities
11632,rabbin,rabbi
11633,douglas,Douglas
11634,positions,positions
11635,mississippi,Mississippi
11636,commentaire,comment
11637,comptoir,counter
11638,accordé,granted
11639,appelais,calling
11640,décevoir,disappoint
11641,avantages,benefits
11642,harrison,harison
11643,jessie,Jessie
11644,bo,bo
11645,génétique,genetic
11646,score,score
11647,présume,presume
11648,unes,some
11649,conviction,conviction
11650,creuse,dig
11651,sorties,exits
11652,back,back
11653,avalé,swallowed
11654,foutent,crazy
11655,touchant,touching
11656,baxter,baxter
11657,ram,ram
11658,miranda,miranda
11659,elaine,rack
11660,dope,dope
11661,plongée,dive
11662,fourmis,ants
11663,province,province
11664,laisserais,would leave
11665,dormait,was sleeping
11666,séduisant,attractive
11667,instants,moments
11668,internationale,international
11669,leslie,Leslie
11670,centaine,hundred
11671,venise,Venice
11672,enterprise,Enterprise
11673,austin,Austin
11674,brune,Brown
11675,not,not
11676,précédent,previous
11677,gagnez,win
11678,amateurs,amateurs
11679,enfermée,enclosed
11680,imposer,impose
11681,drogué,dope
11682,provoque,provoke
11683,prudence,caution
11684,maîtriser,to master
11685,comprendra,will understand
11686,grèce,Greece
11687,grenouille,frog
11688,détenu,held
11689,conversations,conversations
11690,pétasse,bitch
11691,implique,implied
11692,pensaient,thought
11693,inconscient,unconscious
11694,utilisée,used
11695,district,district
11696,plaie,wound
11697,mètre,metre
11698,précise,precise
11699,wolf,wolf
11700,prudents,cautious
11701,gangs,gangs
11702,buté,stop
11703,pète,fart
11704,mercedes,Mercedes
11705,mineurs,minors
11706,confidentiel,confidential
11707,jefferson,Jefferson
11708,slip,porch
11709,are,are
11710,supermarché,supermarket
11711,suce,suck
11712,mallette,briefcase
11713,rampe,ramp
11714,ruiner,ruin
11715,migraine,migraine
11716,étre,be
11717,gêné,embarrassed
11718,développer,develop
11719,autorise,allowed
11720,stevens,Stevens
11721,épicerie,grocery
11722,afghanistan,Afghanistan
11723,sperme,sperm
11724,sensé,sensible
11725,cibles,targets
11726,serrure,lock
11727,murray,Murray
11728,musicale,musical
11729,verrais,would see
11730,bailey,bailey
11731,rime,rhyme
11732,méritent,deserve
11733,omar,Omar
11734,options,options
11735,tank,tank
11736,impressionner,impress
11737,tristes,sad
11738,baisers,kisses
11739,rançon,ransom
11740,célèbres,famous
11741,montrent,show
11742,elsa,Elsa
11743,évacuation,evacuation
11744,probleme,issue
11745,inutiles,unnecessary
11746,duncan,Duncan
11747,sobre,sober
11748,obsession,obsession
11749,finissent,finish
11750,dépenses,expenses
11751,arbitre,arbitrator
11752,marijuana,marijuana
11753,cruelle,cruel
11754,adieux,farewell
11755,couvent,convent
11756,éclat,glow
11757,ignores,unknown
11758,souliers,shoes
11759,perdons,Let's lose
11760,tournent,run
11761,gueules,gules
11762,dante,dante
11763,informatique,computer science
11764,hudson,Hudson
11765,localiser,locate
11766,attaqués,attacked
11767,seau,bucket
11768,craignez,fear
11769,programmes,programs
11770,poignet,wrist
11771,hôtels,hotels
11772,requins,sharks
11773,adopter,adopt
11774,vendue,sold
11775,prions,prayer
11776,céder,to sell
11777,plumes,feathers
11778,robots,robots
11779,décédé,deceased
11780,empêché,stop
11781,respectable,respectable
11782,bay,bay
11783,phillip,phillip
11784,hait,hates
11785,prévoir,to expect
11786,féminin,feminine
11787,nain,dwarf
11788,vidé,empty
11789,evelyn,Evelyn
11790,noel,Christmas
11791,zack,zack
11792,poubelles,trash cans
11793,insulter,insult
11794,prêtres,priests
11795,boeuf,beef
11796,chèvre,goat
11797,battue,beaten
11798,épargner,save
11799,prochaines,next
11800,inspection,inspection
11801,watson,watson
11802,perry,perry
11803,distraire,distract
11804,publier,publish
11805,détresse,distress
11806,arnaque,scam
11807,poupées,dolls
11808,durée,duration
11809,lancez,launch
11810,mécanique,mechanical
11811,baigne,baton
11812,reprenez,pick up
11813,laissés,left
11814,baigner,bathe
11815,merdier,shitty
11816,refusent,refuse
11817,forcée,forced
11818,quittée,left
11819,décolle,take off
11820,participé,participated
11821,dansez,danse
11822,ordonnance,arrangement
11823,emmènes,swing
11824,tais,tais
11825,noyé,drowned
11826,changes,changes
11827,treize,thirteen
11828,naze,naze
11829,appareils,devices
11830,casquette,cap
11831,familiale,family
11832,soudainement,suddenly
11833,butin,booty
11834,cracher,spit
11835,durera,will last
11836,harmonie,harmony
11837,considérer,consider
11838,woody,Woody
11839,infection,infection
11840,cadillac,cadillac
11841,persuadé,convinced
11842,porcs,pigs
11843,propriétaires,owners
11844,référence,reference
11845,prophète,Prophet
11846,applaudissements,applause
11847,ego,ego
11848,parts,shares
11849,mineur,minor
11850,fondre,melt
11851,psychopathe,psychopath
11852,serviettes,napkins
11853,when,when
11854,lesbienne,lesbian
11855,déjá,Already
11856,apparition,appearance
11857,aveugles,blind
11858,furieuse,furious
11859,généraux,general
11860,déposé,deposit
11861,obstacle,obstacle
11862,ballet,ballet
11863,alaska,Alaska
11864,tuerais,would kill
11865,humide,humid
11866,mat,mast
11867,capote,hood
11868,mexicains,Mexican
11869,quarantaine,quarantine
11870,prostituée,prostitute
11871,mers,seas
11872,chassé,chase
11873,débarrasse,getting rid of
11874,reviendras,will come back
11875,entendais,heard
11876,honnêteté,honesty
11877,prudente,prudent
11878,gonzesse,chick
11879,voté,vote
11880,faille,fault
11881,bute,foul
11882,vivres,food
11883,ras,ras
11884,seth,Seth
11885,refais,redo
11886,marchez,walk
11887,physiquement,physically
11888,marge,margin
11889,hésite,hesitant
11890,nuls,zero
11891,fédéraux,federal
11892,alexander,Alexander
11893,arche,ark
11894,amber,amber
11895,sacrément,sacrament
11896,assisté,assisted
11897,indienne,Indian
11898,bouquet,bunch
11899,boxeur,boxer
11900,registre,register
11901,bijou,jewel
11902,pentagone,Pentagon
11903,masques,masks
11904,endormie,asleep
11905,connaissances,knowledge
11906,papy,Grandpa
11907,massacrer,massacre
11908,appartiennent,belong
11909,marco,Marco
11910,nicholas,nicholas
11911,happy,happy
11912,marshal,marshal
11913,terrorisme,terrorism
11914,faciles,easy
11915,ignorent,ignore
11916,courageuse,courageous
11917,mesurer,measure
11918,espérant,Hoping
11919,grandit,growing
11920,pacte,pact
11921,chapelle,Chapel
11922,orphelinat,orphanage
11923,commune,commune
11924,exemplaire,copy
11925,ja,JA
11926,symptômes,symptoms
11927,défoncer,smash
11928,dons,donations
11929,possibles,possible
11930,accéder,to access
11931,appeiie,appeal
11932,lucky,Lucky
11933,torturer,torture
11934,fontaine,fountain
11935,féminine,feminine
11936,japonaise,Japanese
11937,chauffe,heated
11938,jaunes,yellow
11939,curieuse,curious
11940,capturer,capture
11941,soupçons,suspicion
11942,fusion,fusion
11943,paisible,peaceful
11944,june,June
11945,gabriel,Gabriel
11946,troy,Troy
11947,conséquence,result
11948,jon,jon
11949,inscrire,to inscribe
11950,détester,to hate
11951,fritz,fritz
11952,boissons,drinks
11953,mèche,wick
11954,surement,certainly
11955,bâtir,to build
11956,menton,chin
11957,montes,ride
11958,rituel,ritual
11959,continent,continent
11960,insecte,bug
11961,voeux,wishes
11962,josé,josé
11963,visions,visions
11964,trait,trait
11965,lmpossible,lmpossible
11966,empoisonné,poisoned
11967,clefs,keys
11968,pois,pea
11969,investissement,investment
11970,croisés,crossed
11971,accidents,accidents
11972,seui,seui
11973,philip,Philip
11974,was,wast
11975,démissionné,resigned
11976,diabolique,diabolical
11977,wally,Wally
11978,ohio,Ohio
11979,verront,will see
11980,nues,naked
11981,vendent,sell
11982,assurances,insurance
11983,fosse,ditch
11984,wagon,car
11985,einstein,Einstein
11986,puissiez,can
11987,italiens,Italian
11988,ciseaux,scissors
11989,saine,healthy
11990,farine,flour
11991,bavarder,to chatter
11992,sombres,dark
11993,nourrit,nourished
11994,prendrez,take
11995,repart,start -up
11996,déclarer,to announce
11997,mord,bite
11998,provisions,provisions
11999,créateur,Creator
12000,joyce,joyce
12001,zones,zones
12002,faucon,falcon
12003,signalé,reported
12004,pologne,Poland
12005,vice,vice
12006,architecte,architect
12007,sentie,felt
12008,psychiatrique,psychiatric
12009,semblable,similar
12010,ruse,cunning
12011,bouges,move
12012,valley,valley
12013,rogers,rogers
12014,stella,stella
12015,béton,concrete
12016,déplacé,displaced
12017,regrets,regret
12018,déchets,waste
12019,vents,winds
12020,véhicules,vehicles
12021,décrocher,to take down
12022,saucisses,sausages
12023,éclaté,bursts
12024,entendent,hear
12025,horreurs,horrors
12026,exécuté,executed
12027,cleveland,Cleveland
12028,illusions,illusions
12029,chips,chips
12030,buzz,buzz
12031,nr,nr
12032,trip,trip
12033,zoé,Zoe
12034,gestes,gestures
12035,torche,torch
12036,publiques,public
12037,pédale,pedal
12038,gérant,manager
12039,coutume,custom
12040,salles,rooms
12041,démissionne,resign
12042,bell,bell
12043,bases,bases
12044,allison,allison
12045,techniquement,technically
12046,mae,mae
12047,tre,be
12048,romain,Roman
12049,mental,mental
12050,cachés,hidden
12051,devenait,became
12052,mentale,mental
12053,ponts,bridges
12054,électronique,electronic
12055,comble,height
12056,rendus,rendered
12057,préserver,preserve
12058,amusé,amused
12059,gwen,gwen
12060,couteaux,knives
12061,enthousiasme,enthusiasm
12062,roberts,Roberts
12063,at,at
12064,baseball,baseball
12065,jeep,jeep
12066,draguer,to dredge
12067,signale,report
12068,bouddha,Buddha
12069,égalité,equality
12070,chevaliers,knights
12071,fortes,strong
12072,cote,coast
12073,mondial,global
12074,procéder,proceed
12075,idéale,ideal
12076,écho,echo
12077,plaint,complaint
12078,susie,Susie
12079,inhabituel,unusual
12080,pleines,full
12081,racines,roots
12082,tickets,tickets
12083,plaise,plaice
12084,appuyez,press
12085,entretenir,maintain
12086,pleurs,tears
12087,modèles,models
12088,interrogé,interrogates
12089,ais,ais
12090,professionnels,professionals
12091,paysan,peasant
12092,parade,parade
12093,kit,kit
12094,pilule,pill
12095,temporaire,temporary
12096,offres,offers
12097,portail,gate
12098,katherine,katherine
12099,détente,relaxation
12100,étudiante,student
12101,val,valve
12102,fédération,federation
12103,sortais,sorted
12104,graisse,fat
12105,adresser,address
12106,confusion,confusion
12107,coopération,cooperation
12108,folles,crazy
12109,mousse,mousse
12110,embarque,embark
12111,pressentiment,presentiment
12112,couvertures,covers
12113,cale,hold
12114,évader,escape
12115,simone,simone
12116,nate,nate
12117,dvd,DVD
12118,ramassé,picked up
12119,légèrement,slightly
12120,asie,Asia
12121,respecté,respected
12122,entendait,heard
12123,honorer,to honour
12124,gratuitement,free
12125,tailleur,tailor
12126,récit,narrative
12127,fiable,reliable
12128,active,active
12129,repasser,go back
12130,absolue,absolute
12131,bienvenus,welcome
12132,actuel,current
12133,comparé,compared
12134,martini,martini
12135,alcoolique,alcoholic
12136,am,AM
12137,iris,iris
12138,luc,luc
12139,pince,pliers
12140,pourboire,tip
12141,saigner,bleed
12142,merveilles,wonders
12143,maudits,cursed
12144,poignardé,stabbing
12145,colorado,Colorado
12146,bloque,blocked
12147,cogné,stunned
12148,chandler,chand
12149,tess,tess
12150,statut,Status
12151,réflexion,reflection
12152,dommages,damage
12153,quotidien,daily
12154,sinistre,sinister
12155,combattant,fighter
12156,financier,financial
12157,um,UM
12158,méritait,deserved
12159,rhum,rum
12160,défends,defend
12161,haleine,breath
12162,habitez,Live
12163,politiciens,politicians
12164,intérieure,interior
12165,pourrie,rotten
12166,arrangera,will arrange
12167,assumer,to assume
12168,kerry,Kerry
12169,wyatt,wyatt
12170,trevor,Trevor
12171,pédés,faded
12172,fuck,fuck
12173,vidéos,videos
12174,bouts,ends
12175,mimi,mimi
12176,climat,climate
12177,échantillon,sample
12178,florence,Florence
12179,habitait,lived
12180,abandonnez,abandon
12181,infirmières,nurses
12182,clara,clara
12183,détention,detention
12184,abraham,Abraham
12185,gray,gray
12186,christopher,Christopher
12187,compagnies,companies
12188,saddam,Saddam
12189,nettoyé,cleaned up
12190,becky,becky
12191,attrapez,catch
12192,voeu,wish
12193,accroché,hooked
12194,armure,armor
12195,chaises,chairs
12196,retournée,overhaul
12197,débarquer,land
12198,skipped,skipped
12199,item,item
12200,adorais,adored
12201,rails,rails
12202,ruban,ribbon
12203,effraie,frightening
12204,visez,Aim
12205,tribord,starboard
12206,tracasse,hassle
12207,preston,preston
12208,è,e
12209,luis,luis
12210,régulièrement,regularly
12211,généralement,generally
12212,scolaire,school
12213,élégant,elegant
12214,patronne,boss
12215,cafard,cockroach
12216,sembler,seem
12217,script,script
12218,juliette,juliet
12219,fiis,fiis
12220,clubs,clubs
12221,dépasser,exceed
12222,trempé,soaked
12223,commençais,began
12224,confort,comfort
12225,disparais,disappearing
12226,vilaine,ugly
12227,hot,hot
12228,cogne,knock
12229,transféré,transferred
12230,vermine,vermin
12231,générai,generally
12232,willy,Willy
12233,infanterie,infantry
12234,clinton,Clinton
12235,toutefois,Nevertheless
12236,traîtres,traitors
12237,trajectoire,path
12238,promet,promise
12239,invente,invent
12240,sons,sounds
12241,martiale,martial
12242,comprendras,will understand
12243,malle,trunk
12244,gère,manage
12245,rigolo,fun
12246,cambriolage,heist
12247,vera,vera
12248,frêre,brother
12249,enlèvement,removal
12250,compagnons,companions
12251,appartements,apartments
12252,passerait,would pass
12253,bornes,boundaries
12254,honteux,ashamed
12255,villages,villages
12256,gelée,goo
12257,lavé,wash
12258,gangster,gangster
12259,pareilles,the same
12260,croyant,believer
12261,edith,Edith
12262,graines,seeds
12263,pénétrer,enter
12264,chargez,Load
12265,directe,direct
12266,poursuivi,for follow-up
12267,cargaison,cargo
12268,infini,infinity
12269,investi,invested
12270,lessive,laundry
12271,coûtera,will cost
12272,nœud,node
12273,fourrure,fur
12274,glacée,frozen
12275,confirmation,confirmation
12276,carré,edge
12277,esclavage,slavery
12278,personnelles,personal
12279,marianne,Marianne
12280,mmm,mmm
12281,ostie,ostie
12282,littéralement,literally
12283,rejeté,rejected
12284,sida,AIDS
12285,remontez,go up
12286,affamé,hungry
12287,carlo,carlo
12288,banlieue,suburb
12289,passager,passenger
12290,cest,It is
12291,mourras,die
12292,cinglée,crazy
12293,marquis,marquis
12294,fixé,fixed
12295,situations,situations
12296,identification,identification
12297,isolé,isolated
12298,degré,degree
12299,dee,dee
12300,batman,Batman
12301,hôtesse,hostess
12302,indispensable,essestial
12303,paquets,packets
12304,life,life
12305,autel,altar
12306,perdues,lost
12307,rive,shore
12308,incroyablement,incredibly
12309,piéger,trap
12310,hypocrite,hypocritical
12311,crash,crash
12312,seize,sixteen
12313,brenda,Brenda
12314,entres,entrances
12315,sal,salt
12316,rosie,rosie
12317,enregistre,checked in
12318,signaux,signals
12319,répugnant,repugnant
12320,emmerdes,boring
12321,wong,wong
12322,frontières,boundaries
12323,vagin,vagina
12324,coopérer,cooperate
12325,tuant,killing
12326,yacht,yacht
12327,ravis,delighted
12328,posséder,possess
12329,souhait,wish
12330,avale,swallow
12331,siens,hers
12332,grise,grey
12333,répare,repair
12334,orteils,toes
12335,rechercher,to research
12336,cameron,Cameron
12337,conséquent,substantial
12338,mythe,myth
12339,formulaire,form
12340,rompez,break
12341,bac,bin
12342,villageois,villager
12343,tumeur,tumor
12344,promo,promotion
12345,millionnaire,millionaire
12346,éveillé,awake
12347,gravement,seriously
12348,sixième,sixth
12349,terrasse,terrace
12350,radios,radios
12351,exacte,accurate
12352,south,south
12353,préoccupe,concerned
12354,montréal,Montreal
12355,enfuis,fucked
12356,jen,jen
12357,volume,volume
12358,châtiment,punishment
12359,condamnés,condemned
12360,achat,purchase
12361,excitée,excited
12362,limousine,limousine
12363,bennett,Bennett
12364,baltimore,baltimore
12365,saucisse,sausage
12366,arrêtons,Let's stop
12367,sherry,sherry
12368,milton,Milton
12369,onu,UN
12370,fréquente,frequent
12371,détestent,hate
12372,violet,purple
12373,orgueil,pride
12374,premiére,first
12375,voiles,sails
12376,défauts,defaults
12377,dégagé,clear
12378,ralentir,to slow down
12379,cuisinière,cook
12380,croyable,believable
12381,pitoyable,pitiful
12382,vendez,sell
12383,profs,teacher
12384,nash,nash
12385,atlanta,Atlanta
12386,portais,portable
12387,apparu,appeared
12388,représenter,represent
12389,porteur,carrier
12390,craignais,feared
12391,revenait,was coming back
12392,battait,beaten
12393,pam,gym
12394,sautez,jump
12395,gâchette,trigger
12396,indiqué,noted
12397,existé,exist
12398,coupes,cups
12399,justifier,justify
12400,joyeuse,joyful
12401,aérien,air
12402,connasse,bitch
12403,assassinée,murdered
12404,cachent,hide
12405,hurle,scream
12406,croûte,crust
12407,ohé,oheh
12408,démission,resignation
12409,plaisanter,kidding
12410,pauvreté,poverty
12411,investir,invest
12412,poses,poses
12413,mouton,sheep
12414,intrus,intruder
12415,cliff,cliff
12416,surprend,surprise
12417,morrison,morrison
12418,ernie,Ernie
12419,pointer,point
12420,virgil,virgil
12421,cathy,Cathy
12422,spatial,spatial
12423,christina,Christina
12424,convenu,agreed
12425,dodo,dodo
12426,traitée,treated
12427,nerf,nerve
12428,exercices,exercises
12429,épais,thick
12430,mortelle,deadly
12431,cachez,hide
12432,boucler,buckle
12433,chantent,sing
12434,croissance,growth
12435,chili,Chile
12436,échantillons,samples
12437,good,good
12438,tranche,slice
12439,derniére,last
12440,eiies,eiies
12441,soulever,raise
12442,data,data
12443,tournant,turning point
12444,pres,close
12445,corn,corn
12446,grecs,Greek
12447,parano,parano
12448,intelligents,intelligent
12449,traîné,dragged
12450,arriverez,will arrive
12451,réagi,reacted
12452,trophée,trophy
12453,espêre,spray
12454,enverra,will send
12455,clôture,fence
12456,renseignement,intelligence
12457,passerelle,bridge
12458,psychologique,psychological
12459,emmerder,piss off
12460,embrassée,kissed
12461,demandant,requesting
12462,automobile,automotive
12463,crises,seizures
12464,moques,cork
12465,tables,tables
12466,garer,park
12467,enfuit,fled
12468,enseigné,taught
12469,locaux,premises
12470,apprendrai,will learn
12471,morveux,morvetus
12472,apprenne,learning
12473,accompagné,accompanied
12474,otis,otis
12475,avocate,lawyer
12476,meuf,girl
12477,opposé,opposite
12478,general,general
12479,recours,appeal
12480,particulière,special
12481,comporter,include
12482,griffes,claws
12483,di,di
12484,fichiers,files
12485,regardons,Let's look at
12486,claires,clear
12487,percy,percy
12488,denny,Denny
12489,http,http
12490,douleurs,pain
12491,distribution,distribution
12492,éliminé,eliminated
12493,salutations,cheers
12494,tabasser,beaten
12495,cuisinier,to cook
12496,écoutent,listen
12497,bla,black
12498,quinn,quinn
12499,éléphants,elephants
12500,suffisait,was enough
12501,yang,yang
12502,randall,randall
12503,trouverons,will find
12504,chargement,loading
12505,fidélité,loyalty
12506,fi,FI
12507,bouffon,puff
12508,représentation,representation
12509,cire,wax
12510,fatigués,tired
12511,aveux,confessions
12512,téléphonique,telephone
12513,purée,mash potatoes
12514,mollo,mollo
12515,barnes,barnes
12516,fourgon,van
12517,vouiez,vow
12518,noëi,Noëi
12519,immédiat,immediate
12520,reconnaissante,grateful
12521,tirée,pulled
12522,palace,palace
12523,chemises,shirts
12524,haïr,hate
12525,renoncé,renounced
12526,allongé,elongate
12527,observé,observed
12528,spirituel,witty
12529,maux,illness
12530,câlin,cuddly
12531,gilet,vest
12532,have,haven
12533,abe,ABE
12534,enfonce,sink
12535,blâmer,blame
12536,sacrés,Holy
12537,révolutionnaire,revolutionary
12538,blond,blond
12539,solde,pay
12540,soucier,worry
12541,déprimé,depressed
12542,effacé,erased
12543,yes,Yes
12544,âgée,elderly
12545,extraterrestre,extraterrestrial
12546,chimique,chemical
12547,amuses,amuses
12548,attendiez,wait
12549,finiras,will end
12550,environs,surrounding
12551,remettra,will put back
12552,malins,clever
12553,remplacé,replaced
12554,usines,factories
12555,pantalons,pants
12556,tigres,tigers
12557,déménage,move
12558,ail,garlic
12559,drake,drake
12560,jonas,Jonas
12561,sitter,swing
12562,abeilles,bees
12563,souviendrai,will remember
12564,envoler,flourish
12565,voyagé,journey
12566,gardent,keep
12567,chi,chi
12568,baissé,decrease
12569,commentaires,comments
12570,logement,accommodation
12571,clochette,bell
12572,hyper,hyper
12573,ciné,cinema
12574,tapette,swatter
12575,rory,Rory
12576,cat,cat
12577,composé,compound
12578,raccompagner,drive away
12579,fuit,flee
12580,conquérir,conquer
12581,permettra,will allow
12582,portera,will carry
12583,emballe,packed up
12584,ouvrier,worker
12585,paiement,payment
12586,niveaux,levels
12587,lires,read
12588,écrirai,will write
